D7869,H100
D6581,J101
D8250,H102
D8908,H103
D7470,H104
D8559,A105
D9087,C106
D3811,A107
D9231,J108
D5565,F109
D7325,D110
D8643,G111
D5817,I112
D2939,G113
D4369,B114
D4997,C115
D1447,I116
D2598,I117
D4562,C118
D1759,B119
D6034,B120
D5930,B121
D3757,H122
D2408,J123
D8860,F124
D8825,A125
D2860,J126
D8252,F127
D7677,J128
D2644,J129
D2840,C130
D3418,E131
D6183,I132
D1597,E133
D9811,D134
D8379,G135
D5307,G136
D1579,H137
D2374,D138
D9821,D139
D6922,D140
D7420,G141
D6580,C142
D4284,H143
D3560,C144
D7867,C145
D2038,H146
D9966,D147
D5292,A148
D6391,H149
D8151,B150
D5772,D151
D7493,I152
D2251,I153
D3158,A154
D2702,E155
D4421,G156
D1114,G157
D6718,G158
D5274,F159
D5758,B160
D8327,B161
D1011,H162
D7792,D163
D9814,F164
D5867,J165
D2413,C166
D7477,J167
D3116,B168
D8295,G169
D4102,I170
D5683,H171
D8149,H172
D6122,H173
D6621,F174
D1730,C175
D2434,H176
D4100,B177
D5617,H178
D2398,E179
D6281,D180
D8730,B181
D1343,B182
D6148,B183
D3299,H184
D6360,J185
D8715,E186
D6561,F187
D6072,F188
D9954,A189
D4254,G190
D7723,F191
D5279,G192
D7426,G193
D5133,B194
D9754,I195
D4876,F196
D1849,C197
D7140,A198
D5527,F199
D7052,A200
D8919,A201
D6353,C202
D3787,B203
D2442,I204
D4720,I205
D3875,G206
D6864,C207
D1156,H208
D6038,J209
D4044,C210
D2518,H211
D5578,I212
D8828,I213
D2872,H214
D1869,H215
D5421,E216
D3762,C217
D6695,A218
D8185,H219
D2026,E220
D9575,A221
D6737,C222
D3415,I223
D6121,C224
D5184,J225
D6984,G226
D9900,D227
D4891,C228
D7097,G229
D2652,A230
D8662,I231
D3130,D232
D2139,C233
D3938,D234
D7832,D235
D3830,D236
D1074,H237
D3164,G238
D4990,E239
D2222,D240
D7190,E241
D5274,J242
D8785,J243
D8676,I244
D1469,C245
D2992,I246
D7342,H247
D5518,F248
D4664,H249
